节点ID,节点类型,节点名称,所有属性
11,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [474.89166666666677, 603.775, 1421.6916666666666, 910.975], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.082031249999999, ""position"": ""edge""}"
12,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 1, ""class"": ""spatter_cluster"", ""bbox"": [428.24858757062145, 780.7909604519774, 554.2372881355932, 969.4915254237288], ""confidence"": 0.95, ""image_id"": ""img_6"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 297, ""density"": ""high""}"
13,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [618.8034188034188, 549.5726495726497, 651.2820512820513, 582.4786324786326], ""confidence"": 0.95, ""image_id"": ""img_6"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 4, ""density"": ""very_high""}"
14,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 3, ""class"": ""overlap_bump"", ""bbox"": [713.7777777777778, 540.8888888888889, 771.5555555555555, 595.5555555555555], ""confidence"": 0.95, ""image_id"": ""img_6"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 43.733333333333306, ""shape"": ""protrusion""}"
15,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [240.1841131875031, 414.4963687285722, 1005.7841131875032, 925.0963687285721], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4994124559341957, ""position"": ""edge""}"
16,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [291.2441131875031, 465.5563687285722, 954.7241131875032, 874.0363687285721], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6242655699177444, ""position"": ""edge""}"
17,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2139.8787878787875, 1609.4242424242423, 2285.333333333333, 1767.0], ""confidence"": 0.95, ""image_id"": ""img_7"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 91, ""density"": ""very_high""}"
18,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1216.0, 2278.0, 1420.0, 2530.0], ""confidence"": 0.95, ""image_id"": ""img_8"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 205, ""density"": ""very_high""}"
19,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1948.969696969697, 1212.4545454545455, 2121.6969696969695, 1357.9090909090908], ""confidence"": 0.95, ""image_id"": ""img_9"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 100, ""density"": ""very_high""}"
20,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [1325.0, 1256.4516129032259, 1437.0967741935483, 1443.5483870967741], ""confidence"": 0.95, ""image_id"": ""img_9"", ""is_component"": false, ""is_defect"": true, ""length"": 187.0967741935483, ""orientation"": ""vertical"", ""type"": ""transverse""}"
21,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [613.790860215054, 907.190909090909, 2802.590860215054, 1727.990909090909], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666665, ""position"": ""edge""}"
22,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [695.870860215054, 989.2709090909091, 2720.510860215054, 1645.9109090909092], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0833333333333326, ""position"": ""edge""}"
23,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1267.741935483871, 1909.6774193548388, 1424.1935483870968, 2101.6129032258063], ""confidence"": 0.95, ""image_id"": ""img_10"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 120, ""density"": ""very_high""}"
24,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1830.5555555555557, 1918.0555555555557, 1931.9444444444446, 2023.611111111111], ""confidence"": 0.95, ""image_id"": ""img_11"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 42, ""density"": ""very_high""}"
25,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [2118.0555555555557, 1919.4444444444446, 2558.3333333333335, 2043.0555555555557], ""confidence"": 0.95, ""image_id"": ""img_11"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 217, ""density"": ""very_high""}"
26,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [2565.277777777778, 1913.888888888889, 2740.277777777778, 2023.611111111111], ""confidence"": 0.95, ""image_id"": ""img_11"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 76, ""density"": ""very_high""}"
27,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 4, ""class"": ""porosity_region"", ""bbox"": [724.1379310344828, 1889.6551724137933, 966.3793103448277, 2000.8620689655174], ""confidence"": 0.95, ""image_id"": ""img_11"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 107, ""density"": ""very_high""}"
28,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 5, ""class"": ""porosity_region"", ""bbox"": [562.9310344827586, 1921.5517241379312, 647.4137931034484, 2009.4827586206898], ""confidence"": 0.95, ""image_id"": ""img_11"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 29, ""density"": ""very_high""}"
29,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [464.5306513409964, 1516.32183908046, 2864.5306513409964, 2416.32183908046], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666665, ""position"": ""center""}"
30,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [554.5306513409964, 1606.32183908046, 2774.5306513409964, 2326.32183908046], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0833333333333335, ""position"": ""edge""}"
31,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [485.4700854700855, 290.1709401709402, 544.8717948717949, 345.7264957264957], ""confidence"": 0.95, ""image_id"": ""img_12"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 16.66666666666666, ""shape_regularity"": ""regular""}"
32,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [452.09580838323353, 606.5868263473054, 522.7544910179641, 791.0179640718563], ""confidence"": 0.95, ""image_id"": ""img_12"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 52, ""density"": ""very_high""}"
33,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [118.49804493576949, 253.0755565791495, 884.0980449357695, 763.6755565791494], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4994124559341955, ""position"": ""center""}"
34,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [169.5580449357695, 304.13555657914947, 833.0380449357694, 712.6155565791494], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6242655699177442, ""position"": ""edge""}"
35,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [476.87074829931976, 639.4557823129252, 598.6394557823129, 753.0612244897959], ""confidence"": 0.95, ""image_id"": ""img_13"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 55, ""density"": ""very_high""}"
36,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [485.7142857142857, 804.0816326530612, 601.3605442176871, 913.6054421768707], ""confidence"": 0.95, ""image_id"": ""img_13"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 50, ""density"": ""very_high""}"
37,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [519.2307692307693, 923.931623931624, 587.6068376068376, 1020.5128205128206], ""confidence"": 0.95, ""image_id"": ""img_13"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 26, ""density"": ""very_high""}"
38,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 4, ""class"": ""porosity_region"", ""bbox"": [476.92307692307696, 1082.0512820512822, 546.5811965811967, 1143.5897435897436], ""confidence"": 0.95, ""image_id"": ""img_13"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 17, ""density"": ""very_high""}"
39,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [153.8158642944358, 654.7361939647656, 919.4158642944358, 1165.3361939647655], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4994124559341953, ""position"": ""edge""}"
40,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [204.87586429443581, 705.7961939647655, 868.3558642944358, 1114.2761939647655], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6242655699177437, ""position"": ""edge""}"
41,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [485.9411764705882, 735.2941176470588, 613.8823529411764, 894.1176470588234], ""confidence"": 0.95, ""image_id"": ""img_14"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 102.35294117647055, ""shape"": ""protrusion""}"
42,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [813.1147540983607, 763.1147540983607, 881.1475409836066, 832.7868852459017], ""confidence"": 0.95, ""image_id"": ""img_15"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 18, ""density"": ""very_high""}"
43,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [488.135593220339, 723.1638418079096, 545.1977401129943, 779.6610169491526], ""confidence"": 0.95, ""image_id"": ""img_15"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 12, ""density"": ""very_high""}"
44,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 3, ""class"": ""spatter_cluster"", ""bbox"": [868.4210526315788, 872.4696356275304, 1061.1336032388663, 969.2307692307692], ""confidence"": 0.95, ""image_id"": ""img_15"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 233, ""density"": ""high""}"
45,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [392.1917140476244, 567.8044838266039, 1160.1917140476244, 1079.004483826604], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5023474178403755, ""position"": ""edge""}"
46,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [443.3117140476244, 618.9244838266039, 1109.0717140476245, 1027.884483826604], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.627934272300469, ""position"": ""edge""}"
47,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [559.3703703703702, 733.8888888888888, 689.0, 861.6666666666666], ""confidence"": 0.95, ""image_id"": ""img_16"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 66, ""density"": ""very_high""}"
48,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [530.4347826086956, 655.9006211180124, 560.2484472049689, 690.0621118012422], ""confidence"": 0.95, ""image_id"": ""img_17"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 4, ""density"": ""very_high""}"
49,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [461.4906832298136, 1497.5155279503106, 509.9378881987577, 1542.8571428571427], ""confidence"": 0.95, ""image_id"": ""img_17"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 8, ""density"": ""very_high""}"
50,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [391.30434782608694, 1012.4223602484471, 428.57142857142856, 1052.7950310559006], ""confidence"": 0.95, ""image_id"": ""img_17"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 6, ""density"": ""very_high""}"
51,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [96.33126293995855, 819.3587991718426, 864.3312629399586, 1331.1587991718425], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5005861664712783, ""position"": ""center""}"
52,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [147.51126293995856, 870.5387991718426, 813.1512629399587, 1279.9787991718424], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890982, ""position"": ""edge""}"
53,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [581.9354838709677, 1003.5483870967741, 619.6774193548387, 1047.741935483871], ""confidence"": 0.95, ""image_id"": ""img_18"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 6, ""density"": ""very_high""}"
54,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [639.1025641025641, 781.1965811965813, 663.4615384615385, 817.948717948718], ""confidence"": 0.95, ""image_id"": ""img_18"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 3, ""density"": ""high""}"
55,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [242.04425144747722, 656.7089054314861, 1010.0442514474772, 1168.508905431486], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""edge""}"
56,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [293.22425144747723, 707.888905431486, 958.8642514474773, 1117.328905431486], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890978, ""position"": ""edge""}"
57,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [707.1428571428571, 442.8571428571429, 782.1428571428571, 501.0204081632653], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 17, ""density"": ""very_high""}"
58,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [835.2769679300291, 476.38483965014575, 887.4635568513119, 518.6588921282798], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""length"": 52.186588921282805, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
59,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [1201.4634146341464, 627.8048780487806, 1257.0731707317075, 685.8536585365854], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 12, ""density"": ""very_high""}"
60,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 4, ""class"": ""crack_line"", ""bbox"": [1240.4444444444443, 773.7777777777778, 1285.7777777777778, 886.2222222222222], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""length"": 112.44444444444434, ""orientation"": ""vertical"", ""type"": ""transverse""}"
61,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 5, ""class"": ""crack_line"", ""bbox"": [1283.5555555555557, 1052.0, 1328.888888888889, 1138.2222222222222], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""length"": 86.22222222222217, ""orientation"": ""vertical"", ""type"": ""transverse""}"
62,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 6, ""class"": ""crack_line"", ""bbox"": [1293.3333333333333, 1170.6666666666667, 1343.0, 1279.0], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""length"": 108.33333333333326, ""orientation"": ""vertical"", ""type"": ""transverse""}"
63,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 7, ""class"": ""pit_depression"", ""bbox"": [555.1369863013699, 421.5753424657534, 640.7534246575343, 494.52054794520546], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 21.883561643835616, ""shape_regularity"": ""irregular""}"
64,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 8, ""class"": ""pit_depression"", ""bbox"": [408.09968847352025, 415.88785046728975, 459.190031152648, 476.6355140186916], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 15.327102803738319, ""shape_regularity"": ""irregular""}"
65,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 9, ""class"": ""pit_depression"", ""bbox"": [339.917695473251, 400.0, 405.55555555555554, 473.45679012345676], ""confidence"": 0.95, ""image_id"": ""img_19"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 19.69135802469136, ""shape_regularity"": ""irregular""}"
66,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [391.2120114470439, 487.69693073852704, 1414.812011447044, 871.696930738527], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.665625, ""position"": ""edge""}"
67,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [429.61201144704387, 526.096930738527, 1376.4120114470438, 833.2969307385271], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0820312499999996, ""position"": ""edge""}"
68,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [561.5894039735099, 145.4746136865342, 596.0264900662252, 210.5960264900662], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 8, ""density"": ""very_high""}"
69,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [535.9823399558499, 265.5629139072848, 579.0286975717439, 335.09933774834434], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 11, ""density"": ""very_high""}"
70,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [526.4900662251655, 343.046357615894, 565.7836644591612, 391.39072847682115], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 7, ""density"": ""very_high""}"
71,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 4, ""class"": ""porosity_region"", ""bbox"": [515.6732891832229, 394.4812362030905, 559.1611479028697, 449.6688741721854], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 9, ""density"": ""very_high""}"
72,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 5, ""class"": ""porosity_region"", ""bbox"": [507.5055187637969, 455.4083885209713, 549.6688741721854, 509.4922737306843], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 9, ""density"": ""very_high""}"
73,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 6, ""class"": ""porosity_region"", ""bbox"": [489.8454746136865, 512.3620309050773, 536.644591611479, 570.8609271523178], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 10, ""density"": ""very_high""}"
74,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 7, ""class"": ""porosity_region"", ""bbox"": [475.9381898454746, 585.2097130242826, 516.3355408388521, 621.8543046357615], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 5, ""density"": ""very_high""}"
75,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 8, ""class"": ""porosity_region"", ""bbox"": [462.9139072847682, 630.9050772626931, 514.569536423841, 709.2715231788079], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 16, ""density"": ""very_high""}"
76,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 9, ""class"": ""porosity_region"", ""bbox"": [442.3841059602649, 709.933774834437, 501.32450331125824, 829.5805739514348], ""confidence"": 0.95, ""image_id"": ""img_20"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 28, ""density"": ""very_high""}"
77,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [140.27029678685312, 225.77770419426042, 908.2702967868531, 737.5777041942604], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""center""}"
78,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [191.45029678685313, 276.95770419426043, 857.0902967868532, 686.3977041942604], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890975, ""position"": ""edge""}"
79,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [656.9099099099099, 384.68468468468467, 707.3603603603603, 446.8468468468468], ""confidence"": 0.95, ""image_id"": ""img_21"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 12, ""density"": ""very_high""}"
80,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [423.758865248227, 89.00709219858156, 643.6170212765958, 273.04964539007096], ""confidence"": 0.95, ""image_id"": ""img_21"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 55.21276595744681, ""shape_regularity"": ""irregular""}"
81,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [223.9115391987732, 42.49706728004605, 991.9115391987732, 554.297067280046], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""edge""}"
82,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [275.0915391987732, 93.67706728004606, 940.7315391987732, 503.117067280046], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890978, ""position"": ""edge""}"
83,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [819.3548387096774, 1670.967741935484, 1059.6774193548388, 1887.0967741935483], ""confidence"": 0.95, ""image_id"": ""img_22"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 207, ""density"": ""very_high""}"
